cruise,station,cast,sample_name,datetime_UTC_start,datetime_UTC_end,latitude_start,longitude_start,latitude_end,longitude_end,depth_bottom,depth_target,depth_TDR,net_max_depth,avg_angle,max_wire_out,wire_rate_out,wire_rate_in,STW_start,SOG_start,STW_end,SOG_end,flowmeter_sn_335,flow_start_335,flow_end_335,tot_flow_counts_335,vol_filtered_335,NOAA_335,DNA_335,flowmeter_sn_150,flow_start_150,flow_end_150,tot_flow_counts_150,vol_filtered_150,morph_ID_150,DNA_150,size_fract_150,taxa_pick_150,size_fract_20,haul_factor_10m2_335,haul_factor_10m2_150,haul_factor_100m3_335,haul_factor_100m3_150,comments,primary_flag,secondary_flag
EN608,MVCO,30,EN608_MVCO_B30,2018-02-05T00:24:59Z,NA,41.3201,-70.5718,NA,NA,17,14,14,14,NA,16,10,8,0.02,0.02,NA,NA,28517,872927,881921,8994,70.624,Y,Y,28519,817104,823745,6641,52.147,Y,Y,Y,Y,Y,1.982,2.685,1.416,1.918,NA,NA,NA
AR28B,L1,1,AR28B_L1_R1,2018-04-03T20:52:00Z,NA,41.185,-70.883,NA,NA,NA,NA,NA,17,NA,17,NA,NA,0.21,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L2,2,AR28B_L2_R2,2018-04-03T22:25:02Z,NA,41.031,-70.883,NA,NA,NA,NA,NA,40,NA,40,NA,NA,0.21,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Cod end broke - no sample. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law). cod end broke.
AR28B,L3,3,AR28B_L3_R3,2018-04-04T00:25:02Z,NA,40.864,-70.885,NA,NA,NA,NA,NA,50,NA,50,NA,NA,0.32,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L4,4,AR28B_L4_R4,2018-04-04T02:19:02Z,NA,40.697,-70.883,NA,NA,NA,NA,NA,62,NA,62,NA,NA,0.14,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L5,5,AR28B_L5_R5,2018-04-04T04:30:02Z,NA,40.529,-70.881,NA,NA,NA,NA,NA,72,NA,72,NA,NA,0.13,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L10,10,AR28B_L10_R10,2018-04-09T15:45:00Z,NA,39.94,-70.882,NA,NA,NA,NA,NA,438,NA,438,NA,NA,0.55,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L11,12,AR28B_L11_R12,2018-04-10T02:55:02Z,NA,39.773,-70.884,NA,NA,NA,NA,NA,200,NA,200,NA,NA,0.03,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Lots of salps. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L9,17,AR28B_L9_R17,2018-04-10T18:55:02Z,NA,40.096,-70.885,NA,NA,NA,NA,NA,145,NA,145,NA,NA,0.3,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L7,27,AR28B_L7_R27,2018-04-11T12:56:02Z,NA,40.227,-70.885,NA,NA,NA,NA,NA,120,NA,120,NA,NA,0.11,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L6,28,AR28B_L6_R28,2018-04-11T18:40:02Z,NA,40.359,-70.885,NA,NA,NA,NA,NA,87,NA,87,NA,NA,0.84,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR28B,L8,37,AR28B_L8_R37,2018-04-12T12:40:02Z,NA,40.137,-70.775,NA,NA,NA,NA,NA,129,NA,129,NA,NA,0.11,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
EN617,L1,1,EN617_L1_B1,2018-07-20T18:45:31Z,2018-07-20T18:53:00Z,41.203333,-70.887017,NA,NA,23,18,NA,17.68,45,25,20,20,1.25,1.25,NA,NA,28769,229540,242735,13195,103.611,Y,Y,28770,292938,307531,14593,114.588,Y,Y,Y,Y,Y,1.706,1.543,0.965,0.873,Using different winch from last cruise. It doesnt have a wire out or speed reading. Marked off wire lengths with tape. All casts had similar speeds up and down. No TDR data for this cast.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
EN617,L2,2,EN617_L2_B2,2018-07-20T22:14:54Z,2018-07-20T22:25:00Z,41.034783,-70.875367,NA,NA,46,41,35.2,35.28,40,50,20,20,1.73,1.73,NA,NA,28769,242781,259571,16790,131.84,Y,Y,28770,307532,325943,18411,144.569,Y,Y,Y,Y,Y,2.676,2.44,0.758,0.692,NA,1,NA
EN617,L3,5,EN617_L3_B5,2018-07-21T07:38:01Z,2018-07-21T07:46:00Z,40.86585,-70.882533,NA,NA,50,45,49.7,49.7,50,70,30,10,1.65,1.65,NA,NA,28769,259588,270914,11326,88.935,Y,Y,28770,325957,338126,12169,95.555,Y,Y,Y,Y,Y,5.588,5.201,1.124,1.047,NA,1,NA
EN617,L4,8,EN617_L4_B8,2018-07-21T15:38:27Z,2018-07-21T15:49:00Z,40.706033,-70.871483,NA,NA,65,60,62,62.44,45,84,30,10,1.65,1.65,NA,NA,28769,270924,279987,9063,71.165,Y,Y,28770,338121,351324,13203,103.674,Y,Y,Y,Y,Y,8.774,6.023,1.405,0.965,20-100um size fraction lost.,1,NA
EN617,L5,9,EN617_L5_B9,2018-07-21T18:04:45Z,2018-07-21T18:17:00Z,40.5224,-70.87265,NA,NA,76,71,62,62.43,40,100,10,10,1.24,1.24,NA,NA,28769,279972,299832,19860,155.946,Y,Y,28770,351329,373301,21972,172.531,Y,Y,Y,Y,Y,4.003,3.618,0.641,0.58,NA,1,NA
EN617,L6,12,EN617_L6_B12,2018-07-22T02:53:53Z,2018-07-22T03:04:00Z,40.375433,-70.8851,NA,NA,91,86,80,79.91,35,100,20,20,1.27,1.27,NA,NA,28769,299820,313194,13374,105.017,Y,Y,28770,373306,388644,15338,120.438,Y,Y,Y,Y,Y,7.609,6.635,0.952,0.83,NA,1,NA
EN617,L7,13,EN617_L7_B13,2018-07-22T05:50:27Z,2018-07-22T06:07:00Z,40.23185,-70.886017,NA,NA,124,119,106,106.29,35,150,30,10,1.27,1.27,NA,NA,28769,313194,338628,25434,199.715,Y,Y,28770,388653,416822,28169,221.191,Y,Y,Y,Y,Y,5.322,4.805,0.501,0.452,NA,1,NA
EN617,L8,14,EN617_L8_B14,2018-07-22T07:43:16Z,2018-07-22T07:56:00Z,40.142217,-70.76645,NA,NA,132,127,121,121.4,35,150,30,10,1.24,1.24,NA,NA,28769,338624,358585,19961,156.74,Y,Y,28770,416816,438905,22089,173.449,Y,Y,Y,Y,Y,7.745,6.999,0.638,0.577,NA,1,NA
EN617,L9,17,EN617_L9_B17,2018-07-22T19:06:34Z,2018-07-22T19:18:00Z,40.0996,-70.87415,NA,NA,147,142,115,115.56,45,190,20,10,1.83,1.83,NA,NA,28769,358580,377273,18693,146.783,Y,Y,28770,438888,461026,22138,173.834,Y,Y,Y,Y,Y,7.873,6.648,0.681,0.575,NA,1,NA
EN617,L10,18,EN617_L10_B18,2018-07-22T22:38:00Z,2018-07-22T22:55:00Z,39.943733,-70.870183,NA,NA,161,156,167,167.34,45,200,15,15,0.49,0.49,NA,NA,28769,377259,403950,26691,209.585,Y,Y,28770,461024,492198,31174,244.787,Y,Y,Y,Y,Y,7.984,6.836,0.477,0.409,"Not sure how net went deeper than the bottom depth, unless we headed toward deeper water and got lucky. No mud in net.",1,NA
EN617,L11,21,EN617_L11_B21,2018-07-23T14:47:01Z,2018-07-23T15:04:00Z,39.771317,-70.876533,NA,NA,1687,200,168,168.16,25,200,15,15,1.3,1.3,NA,NA,28769,403965,425655,21690,199.161,Y,Y,28770,492107,519081,26974,199.161,Y,Y,Y,Y,Y,8.443,8.443,0.502,0.502,NA,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN617,L11,25A,EN617_L11_B25A,2018-07-24T08:19:46Z,2018-07-24T08:48:46Z,39.768483,-70.856617,39.757967,-70.837417,1598,10,11,17.56,45,20,5,10,1.32,1.32,1.94,1.94,28769,425815,471626,45811,345.311,N,N,28770,519088,570694,51606,345.311,N,N,N,N,N,0.509,0.509,0.29,0.29,"For flowmeter calibration (and bluefin larvae). Tow yo to 10 m for at least a nm and bridge marked when net in and out. First tow (A) in one direction and second tow (B) in opposite direction. Distance of this tow was 1.099 nm, which is 2035 m. BUT, as I was putting all the numbers together, I realized that the 2nd tow was throwing things off, and it was because they towed with the wind and much faster through the water than the more typical tow (which tow A was). So we are scrapping the calibration from these stations and will tow for a known distance at MVCO (just once because of little current).",3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN617,L11,25B,EN617_L11_B25B,2018-07-24T09:24:16Z,2018-07-24T09:53:01Z,39.761433,-70.84275,39.770633,-70.860533,1830,10,18,18,45,20,10,10,2.13,2.13,2.26,2.26,28769,471626,561001,89375,552.403,N,N,28770,570694,648345,77651,552.403,N,N,N,N,N,0.326,0.326,0.181,0.181,Flowmeter calibration.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN617,MVCO,35,EN617_MVCO_B35,2018-07-25T01:43:00Z,2018-07-25T01:45:00Z,41.3223,-70.57515,NA,NA,17,12,14,14.63,45,12,5,5,1.92,1.92,NA,NA,28769,560996,569225,8229,64.616,Y,Y,28770,648348,657166,8818,69.241,Y,Y,Y,Y,Y,2.264,2.113,1.548,1.444,NA,1,NA
AR31A,L6,1,AR31A_L6_R1,2018-10-21T08:33:00Z,2018-10-21T08:56:00Z,NA,NA,40.386,-70.891,93,83,NA,83,NA,NA,NA,NA,NA,NA,0.71,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR31A,L5,2,AR31A_L5_R2,2018-10-21T10:32:00Z,2018-10-21T10:50:00Z,40.514,-70.881,NA,NA,77,69,NA,69,NA,NA,NA,NA,0.7,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH green. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR31A,L4,3,AR31A_L4_R3,2018-10-21T12:26:00Z,2018-10-21T12:45:00Z,40.696,-70.884,NA,NA,65,57,NA,57,NA,NA,NA,NA,0.86,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH green. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR32,L1,1,AR32_L1_B1,2018-11-12T17:01:00Z,2018-11-12T17:07:00Z,41.195,-70.883,NA,NA,23,18,NA,18,25,NA,NA,NA,1.96,2.23,NA,NA,28519,834828,844977,10149,79.693,Y,N,28517,927723,936353,8630,67.765,Y,N,Y,N,N,2.259,2.656,1.255,1.476,High phytoplankton content. Ethanol split for morph ID stored in 2 jars (jar 1 of 2 and jar 2 of 2).,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L3,2,AR32_L3_B2,2018-11-12T19:47:00Z,2018-11-12T20:00:00Z,40.861,-70.882,NA,NA,54,48,NA,48,25,NA,NA,NA,1.02,0.94,NA,NA,28519,844703,858722,14019,110.081,Y,N,28517,936353,943442,7089,55.665,Y,Y,Y,N,N,4.36,8.623,0.908,1.796,Dense phytoplankton. Dumped 1/2 of 150 um. The sample is split so 1/4 of sample for 2 jars. 1/4 of size fraction.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L5,3,AR32_L5_B3,2018-11-12T22:50:00Z,2018-11-12T23:05:00Z,40.508,-70.883,NA,NA,76,73,NA,73,30,NA,NA,NA,1.89,2.15,NA,NA,28519,858863,872120,13257,104.098,Y,N,28517,943628,955840,12212,95.892,N,Y,Y,N,N,7.013,7.613,0.961,1.043,Part of 150 um spilled about 5% of sample. 2 EtOH jars.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L6,4,AR32_L6_B4,2018-11-13T00:48:00Z,2018-11-12T00:59:00Z,40.361,-70.876,NA,NA,93,88,NA,88,30,NA,NA,NA,1.74,2.05,NA,NA,28519,872119,893234,21115,165.801,Y,N,28517,955840,971599,15759,123.744,N,Y,Y,N,N,5.308,7.111,0.603,0.808,Dumped 1/2 of sample. 1/4 in EtOh.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L7,5,AR32_L7_B5,2018-11-13T02:52:00Z,2018-11-12T03:06:00Z,40.227,-70.877,NA,NA,126,120,NA,120,40,NA,NA,NA,1.57,1.28,NA,NA,28519,893236,919145,25909,203.445,Y,N,28517,971594,996095,24501,192.389,N,Y,Y,N,N,5.898,6.237,0.492,0.52,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L10,6,AR32_L10_B6,2018-11-13T05:52:00Z,2018-11-13T06:20:00Z,39.941,-70.893,NA,NA,438,200,NA,200,25,NA,20,20,1.07,0.56,NA,NA,28519,919134,947895,28761,225.84,Y,N,28517,996096,25801,29704,233.244,N,Y,Y,N,N,8.856,8.575,0.443,0.429,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR32,L11,7,AR32_L11_B7,2018-11-13T08:37:57Z,2018-11-13T08:57:00Z,39.776,-70.878,NA,NA,1578,200,NA,200,20,NA,NA,NA,0.77,0.97,NA,NA,28519,947894,977683,29789,233.912,Y,N,28517,25802,56858,31056,243.861,N,Y,Y,N,N,8.55,8.201,0.428,0.41,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
EN627,L2,7,EN627_L2_B7,2019-02-02T08:31:43Z,2019-02-02T08:37:00Z,41.0226,-70.8842,NA,NA,46,41,33,33,35,45,20,20,1.77,1.77,NA,NA,28770,319371,323022,3651,84.357,Y,Y,28519,977698,991511,13813,84.357,Y,Y,Y,Y,Y,3.912,3.912,1.185,1.185,"There will be 4 drops on TDR. Attempt 1, whinch calibration, bongo 7 (sample), bongo 8 sample). No time between 7 and 8 to remove TDR. 335 um net some sand remained from previous aborted sample despite having multiple rinses. 150 um net seems like a lot of sample, lots of color even when split.",3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L3,8,EN627_L3_B8,2019-02-02T10:43:38Z,2019-02-02T10:49:48Z,40.8625,-70.8819,40.8636,-70.8852,56,50,43,43,45,60,20,20,2.11,2.11,1.85,1.85,28770,323010,324303,1293,117.374,Y,Y,28519,991514,3638,12123,117.374,Y,Y,Y,Y,Y,3.664,3.664,0.852,0.852,TDR data in file for B7 no time to remove and start new. Long pause at bottom 1min.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L4,12,EN627_L4_B12,2019-02-02T20:35:34Z,2019-02-02T20:45:19Z,40.694892,-70.87184,40.690232,-70.872432,60,60,67,67,45,78,15,20,2.19,2.19,1.18,1.18,28770,324978,341118,16140,192.614,Y,Y,28769,333731,361818,28087,192.614,Y,Y,Y,Y,Y,3.478,3.478,0.519,0.519,NA,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L6,16,EN627_L6_B16,2019-02-03T11:33:34Z,2019-02-03T11:45:19Z,40.364375,-70.89299,40.36728,-70.899867,95,90,77,77,40,110,20,20,2.19,2.19,1.77,1.77,28770,622988,626858,3870,232.124,Y,Y,28769,361774,384486,22712,232.124,Y,Y,Y,Y,Y,3.317,3.317,0.431,0.431,Port flowmeter taken apart before this cast.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L7,17,EN627_L7_B17,2019-02-03T14:31:34Z,2019-02-03T14:50:12Z,40.227492,-70.889165,40.223787,-70.898028,127,115,94,94,35,133,20,20,2.09,2.09,1.77,1.77,28770,626959,634328,7369,351.298,Y,Y,28769,384493,392127,7634,351.298,Y,Y,Y,Y,Y,2.676,2.676,0.285,0.285,Paused 1 min out at 123m. Pillboy diatoms escaped 335 um ne and were capture on 200 um sieve. Extra 2 minutes near surface because we had to haul back the net to unwrap the 20 um ring net. 20 um ring net was replete with pillbox diatoms. 150 um net had a lot of sample. slight spill 5ml of 2nd 1/2 of 150um split of DNA and MorphID samples.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L8,19,EN627_L8_B19,2019-02-03T18:56:34Z,2019-02-03T19:12:04Z,40.120472,-70.766567,40.115012,-70.76863,135,103,132,132,45,145,20,20,1.9,1.9,1.5,1.5,28770,661338,673688,12350,265.659,Y,Y,28769,416178,430707,14529,265.659,Y,Y,Y,Y,Y,4.969,4.969,0.376,0.376,Re did tow after hitting bottom. 2nd cast 103m target.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L9,22,EN627_L9_B22,2019-02-04T02:48:49Z,2019-02-04T03:07:04Z,40.104692,-70.878587,40.112435,-70.87423,148,110,116,116,50,170,20,20,1.79,1.79,2.05,2.05,28770,348247,348573,326,294.683,Y,Y,28769,437456,469960,32504,294.683,Y,Y,Y,Y,Y,3.936,3.936,0.339,0.339,"Flowmeter taken apart before tow to fix.Sent down initially but no winch readout. Pulled out, rinsed, fixed, redeployed.",3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L10,24,EN627_L10_B24,2019-02-04T07:39:04Z,2019-02-04T08:05:04Z,39.938198,-70.884807,39.944832,-70.876267,448,200,196.4,196.67,40,250,20,20,2.04,2.04,1.54,1.54,28770,348579,384822,36243,478.456,Y,Y,28769,469964,473220,3256,478.456,Y,Y,Y,Y,Y,4.111,4.111,0.209,0.209,20 um net bioluminescence. 150 um was full of pillbox diatoms (cosscinodiscus). Salp and pheronima seen went into NOAA split.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L11,25,EN627_L11_B25,2019-02-04T10:36:19Z,2019-02-04T11:13:19Z,39.77296,-70.883958,39.791038,-70.883995,1600,200,167,167.7,55,325,20,20,1.88,1.88,1.57,1.57,28770,384819,392016,7197,627.478,Y,Y,28769,473220,509244,36024,627.478,Y,Y,Y,Y,Y,2.673,2.673,0.159,0.159,"Bongo first, before CTD or up/downstream. At surface for 3+ min while 20 um was untwisted. Samples frothy, very smelly, loads of diatoms, very challenging to filter over 20 um sieve. Under scope we see more ceratine than previous samples.",3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,u11c,29,EN627_Lu11c_B29,2019-02-05T03:38:19Z,2019-02-05T04:09:19Z,39.78149,-70.527048,39.794687,-70.524907,1627,200,231,231.05,45,300,20,20,2.22,2.22,1.53,1.53,28770,423427,428209,4782,620.803,Y,Y,28769,532013,557823,25810,620.803,Y,Y,Y,Y,Y,3.722,3.722,0.161,0.161,NA,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L5,40,EN627_L5_B40,2019-02-05T19:24:04Z,2019-02-05T19:33:34Z,40.512102,-70.886,40.507608,-70.881883,76,70,64,64,45,90,20,20,2.78,2.78,2.04,2.04,28770,428649,429118,469,238.236,Y,Y,28769,557884,573477,15593,238.236,Y,Y,Y,Y,Y,2.686,2.686,0.42,0.42,NA,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,L1,44,EN627_L1_B44,2019-02-06T02:03:04Z,2019-02-06T02:08:00Z,41.193605,-70.881818,41.191173,-70.882293,22,18,20,20,45,25,10,9,1.99,1.99,1.77,1.77,28770,450257,459969,9712,88.559,Y,Y,28769,574284,584117,9833,88.559,Y,Y,Y,Y,Y,2.258,2.258,1.129,1.129,"Sand lance removed, frozen in baggie.",3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
EN627,MVCO,45,EN627_MVCO_B45,2019-02-06T04:40:14Z,2019-02-06T04:44:04Z,41.318197,-70.574758,41.317912,-70.577323,17,13,17,16.97,45,18,10,10,1.55,1.55,1.97,1.97,28770,459968,467989,8021,53.598,Y,Y,28769,584116,591843,7727,53.598,Y,Y,Y,Y,Y,3.166,3.166,1.866,1.866,No sand in sample.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
AR34B,L4,2,AR34B_L4_R2,2019-04-15T05:06:00Z,2019-04-15T05:12:00Z,40.698,-70.886,40.698,-70.887,65,62,NA,62,NA,NA,NA,NA,0.91,0.08,0.25,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L3,3,AR34B_L3_R3,2019-04-15T06:47:00Z,2019-04-15T06:54:00Z,40.864,-70.883,40.864,-70.884,54,51,NA,51,NA,NA,NA,NA,0.3,0.2,0.14,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Jar label has incorrect time. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
